eventID,station_name,origin_time,start_time,channel_name,network,sta_longitude,sta_latitude,sta_depth,ev_longitude,ev_latitude,ev_depth,E_P_idx,N_P_idx,Z_P_idx,E_shift(s),N_shift(s),Z_shift(s),sampling_rate,Z_npts,N_npts,E_npts,Z_factor,N_factor,E_factor,epi_dist,hypo_dist,magnitude
13010321.P18,TW.G031.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,121.46759796142578,23.35610008239746,-0.045,121.24130249023438,22.865299224853516,8.930000305175781,14170,14170,14170,0.0,0.0,0.0,200.0,72001,72001,72001,3.22e-06,3.24e-06,3.21e-06,59.0908829614679,59.76857936778992,3.85
13010321.P18,TW.G035.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,121.22760009765625,22.878400802612305,-0.056,121.24130249023438,22.865299224853516,8.930000305175781,12266,12266,12266,0.0,0.0,0.0,200.0,72001,72001,72001,3.21e-06,3.19e-06,3.2e-06,2.0204694312823825,9.210347344555784,3.85
13010321.P18,TW.G045.10.HL,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HLZ(N/E),TSMIP,121.15640258789062,22.97410011291504,-0.19,121.24130249023438,22.865299224853516,8.930000305175781,12743,12743,12743,0.0,0.0,0.0,200.0,72001,72001,72001,3.22e-06,3.22e-06,3.19e-06,14.867021908892204,17.4414089455493,3.85
13010321.P18,TW.LDU.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.46929931640625,22.67329978942871,0.185,121.24130249023438,22.865299224853516,8.930000305175781,6620,6620,6620,0.0,0.0,0.0,100.0,36001,36001,36001,1.52e-09,1.55e-09,1.63e-09,31.627688676062487,32.814413316825515,3.85
13010321.P18,TW.LDU.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.46929931640625,22.67329978942871,0.185,121.24130249023438,22.865299224853516,8.930000305175781,6624,6624,6624,0.0,0.0,0.0,100.0,36001,36001,36001,6.4e-06,6.45e-06,6.37e-06,31.627688676062487,32.814413316825515,3.85
13010321.P18,TW.LDU.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.46929931640625,22.67329978942871,0.185,121.24130249023438,22.865299224853516,8.930000305175781,6631,6631,6631,0.0,0.0,0.0,100.0,36001,36001,36001,6.43e-06,6.46e-06,6.41e-06,31.627688676062487,32.814413316825515,3.85
13010321.P18,TW.LONT.00.HH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HHZ(1/2),CWBSN,121.12989807128906,22.906400680541992,-0.21,121.24130249023438,22.865299224853516,8.930000305175781,6269,6269,6269,0.0,0.0,0.0,100.0,36001,36001,36001,1.47e-09,1.56e-09,1.59e-09,12.303922758322287,15.327299854226592,3.85
13010321.P18,TW.LONT.00.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(1/2),CWBSN,121.12989807128906,22.906400680541992,-0.21,121.24130249023438,22.865299224853516,8.930000305175781,6271,6271,6271,0.0,0.0,0.0,100.0,36001,36001,36001,6.45e-06,6.39e-06,6.42e-06,12.303922758322287,15.327299854226592,3.85
13010321.P18,TW.LONT.10.HN,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,HNZ(N/E),CWBSN,121.12989807128906,22.906400680541992,-0.21,121.24130249023438,22.865299224853516,8.930000305175781,6285,6285,6285,0.0,0.0,0.0,100.0,36001,36001,36001,6.43e-06,6.37e-06,6.42e-06,12.303922758322287,15.327299854226592,3.85
13010321.P18,TW.SGS.10.EH,2018-01-01 03:21:56.650000,2018-01-01T03:20:56.650000Z,EHZ(N/E),CWBSN,120.5907974243164,23.080400466918945,-0.278,121.24130249023438,22.865299224853516,8.930000305175781,7300,7300,7300,0.0,0.0,0.0,100.0,36001,36001,36001,8.89e-09,8.89e-09,8.89e-09,70.83046029130142,71.42647530641383,3.85
